id,artist,name,duration,bpm,mood,score
73CKjW3vsUXRpy3NnX4H7F,Radiohead,Fake Plastic Trees,4.85,73.543,relaksasi,72
6DCZcSspjsKoFjzjrWoCdn,Drake,God's Plan,3.32,77.169,relaksasi,84
0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,2.95,117.941,fokus,85
1Ame8XTX6QHY0l0ahqUhgv,Måneskin,THE LONELIEST,4.12,129.786,energik,85
7oN0Wo7sCVvXPdpxoio3JM,Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),1.29,76.739,relaksasi,76
6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,2.88,107.998,fokus,88
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,4.06,106.672,fokus,97
4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,2.85,133.01,energik,92
57bgtoPSgt236HzfBOd8kj,AC/DC,Thunderstruck,4.88,133.52,energik,84
1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,3.35,91.873,fokus,83
36lkJSDyMEZoWTqtRj8Q8q,Chicago,You're the Inspiration - 2006 Remaster,3.82,74.008,relaksasi,73
7fZBQnc0zXwVybgCIrQQil,Imanbek;BYOR,Belly Dancer,2.52,121.985,energik,87
7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION;Trippie Redd,Fuck Love (feat. Trippie Redd),2.44,131.036,energik,83
2vR23BjIzpLMtzsyKrM6Mb,Kailash Kher;Paresh Kamath;Naresh Kamath,Saiyyan,5.73,74.653,relaksasi,70
7o2CTH4ctstm8TNelqjb51,Guns N' Roses,Sweet Child O' Mine,5.91,125.116,energik,84
2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Electric Love,3.64,120.041,energik,82
4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,2.89,132.507,energik,83
6JIC3hbC28JZKZ8AlAqX8h,Elton John;Dua Lipa;PNAU,Cold Heart - PNAU Remix,3.38,116.032,fokus,83
18asYwWugKjjsihZ0YvRxO,Tiësto;Ava Max,The Motto,2.75,117.953,fokus,86
2uflssWlCaJ6CbTMOsUpNI,Bad Bunny,Aguacero,3.52,121.391,energik,84
4XqXNU8MwPHwbgZmNXmAdc,Maluma,Junio,2.81,120.024,energik,81
0d28khcov6AiegSCpG5TuT,Gorillaz,Feel Good Inc.,3.71,138.559,energik,84
75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),4.98,108.375,fokus,90
